City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Temperature,Wind Speed
253,Thompson,75,CA,1651163524,52,55.7435,-97.8558,39.36,5.75
254,Zabul Province,42,AF,1651163524,21,32.25,67.25,73.06,3.29
255,Souillac,40,MU,1651163320,88,-20.5167,57.5167,75.58,3.44
256,Barcelos,1,PT,1651163229,49,41.5388,-8.6151,76.91,8.43
257,George,0,ZA,1651163255,59,-33.963,22.4617,62.15,6.91
258,Broken Hill,26,AU,1651163525,88,-31.95,141.4333,58.71,8.05
259,Lorengau,91,PG,1651163514,75,-2.0226,147.2712,81.18,1.92
260,Berlevåg,75,NO,1651163526,68,70.8578,29.0864,24.75,33.38
261,Kieta,35,PG,1651163526,82,-6.2167,155.6333,78.48,3.78
262,Banepā,75,NP,1651163527,57,27.6298,85.5214,73.72,3.44
263,Fenoarivo Atsinanana,9,MG,1651163527,73,-17.3667,49.4167,74.28,13.15
264,Nefteyugansk,100,RU,1651163528,100,61.0998,72.6035,42.66,6.91
265,Kansanshi,75,ZM,1651163515,94,-12.0951,26.4273,57.99,4.76
266,Saint Paul,100,US,1651163321,57,44.9444,-93.0933,47.66,13.8
267,Skjervøy,100,NO,1651163406,64,70.0311,20.9714,26.6,30.91
268,Sorong,100,ID,1651163528,86,-0.8833,131.25,77.34,1.28
269,Okhotsk,89,RU,1651163410,78,59.3833,143.3,25.68,16.22
270,Saint George,0,US,1651163273,18,37.1041,-113.5841,76.24,5.01
271,Okakarara,84,NA,1651163529,35,-20.5833,17.4333,74.12,8.41
272,Yatou,100,CN,1651163529,90,37.15,122.3833,45.9,9.89
273,Yazd,75,IR,1651163530,13,31.8972,54.3675,82.51,4.61
274,Torbay,75,CA,1651163530,83,47.6666,-52.7314,49.75,10.36
275,Saint-Augustin,100,CA,1651163531,99,51.226,-58.6502,33.84,10.92
276,Lata,5,PT,1651163531,46,40.1629,-8.3327,74.48,9.17
277,Upernavik,91,GL,1651163532,81,72.7868,-56.1549,19.18,8.95
278,Port Hedland,100,AU,1651163436,88,-20.3167,118.5667,73.45,1.14
279,Panabá,19,MX,1651163532,45,21.2833,-88.2667,88.03,5.99
280,Mount Gambier,100,AU,1651163533,68,-37.8333,140.7667,67.91,12.66
281,Matagami,0,CA,1651163515,34,49.7502,-77.6328,33.91,9.22
282,Awjilah,100,LY,1651163533,6,29.1081,21.2869,97.48,7.94
283,Plastun,56,RU,1651163534,63,44.7561,136.2939,39.85,6.29
284,Dedovichi,70,RU,1651163534,52,57.5517,29.9502,37.11,5.26
285,Bakchar,97,RU,1651163534,76,57.0186,82.0711,56.35,8.52
286,Maku,75,IR,1651163535,72,39.2911,44.4521,57.81,4.61
287,Mgachi,100,RU,1651163535,82,51.05,142.2667,30.79,13.67
288,Ranfurly,0,NZ,1651163536,97,-45.1333,170.1,42.1,1.88
289,Dhidhdhoo,61,MV,1651163536,68,6.8833,73.1,85.44,1.74
290,Pampierstad,14,ZA,1651163536,46,-27.7832,24.6877,66.54,10.09
291,Solnechnyy,36,RU,1651163537,82,50.7214,136.6319,25.36,5.86
292,Carnarvon,0,AU,1651163537,73,-24.8667,113.6333,68.07,16.11
293,Sørland,100,NO,1651163538,57,67.667,12.6934,34.02,17.25
294,San Giovanni Rotondo,0,IT,1651163538,42,41.7049,15.7191,60.42,16.11
295,Ştefăneşti,50,RO,1651163539,83,44.8667,24.9333,53.67,3.65
296,Ol'ga,100,RU,1651163539,54,43.7444,135.2892,42.39,5.41
297,Mikhaylovka,33,RU,1651163539,65,50.06,43.2379,55.78,7.99
298,Buchanan,81,LR,1651163540,68,5.8808,-10.0467,85.62,12.01
299,Geraldton,19,AU,1651163469,88,-28.7667,114.6,57.61,4.61
300,Annau,75,TM,1651163540,38,37.8876,58.516,76.5,4.61
301,Pacific Grove,40,US,1651163541,76,36.6177,-121.9166,55.89,10.36
302,Mandāwar,1,IN,1651163541,10,29.5,78.1333,90.25,5.97
303,Copperas Cove,100,US,1651163542,72,31.1241,-97.9031,74.48,17.27
304,Baiyin,79,CN,1651163542,28,36.5583,104.2081,56.86,9.31
305,Tabory,100,RU,1651163543,74,58.5198,64.5495,53.11,12.88
306,Fortuna,100,US,1651163543,95,40.5982,-124.1573,51.85,0.0
307,Kwinana,42,AU,1651163544,73,-32.25,115.7667,55.81,8.61
308,Nuuk,100,GL,1651163544,93,64.1835,-51.7216,36.21,27.63
309,Ambanja,69,MG,1651163545,93,-13.6833,48.45,75.7,2.21
310,Luga,98,RU,1651163545,51,58.7372,29.8453,37.69,3.76
311,Poum,100,NC,1651163546,84,-20.2333,164.0167,74.01,12.93
312,Narsaq,100,GL,1651163546,69,60.9167,-46.05,57.42,2.55
313,Royan,16,FR,1651163546,74,45.6285,-1.0281,65.82,9.44
314,Ukiah,0,US,1651163547,63,39.1502,-123.2078,53.37,16.11
315,Ixtapa,0,MX,1651163286,57,20.7,-105.2,78.03,3.44
316,Prainha,84,BR,1651163547,76,-1.8,-53.48,83.62,3.98
317,Villa María,0,AR,1651163548,17,-32.4075,-63.2402,65.61,11.99
318,Vestmanna,100,FO,1651163548,76,62.1564,-7.1664,43.72,6.91
319,Moerai,4,PF,1651163548,76,-22.4333,-151.3333,79.72,19.98
320,Fergus Falls,0,US,1651163358,53,46.283,-96.0776,46.38,11.5
321,Boyolangu,99,ID,1651163549,90,-8.1181,111.8935,76.78,3.09
322,Kupang,49,ID,1651163550,85,-10.1667,123.5833,77.11,5.53
